id,name,desc,price,img,category
TA-001,The Act шампунь,"Бережно очищает волосы и кожу головы, укрепляет, придаёт блеск и свежесть.",240000,img/TA-001.png,Уход за волосами
TA-002,Скраб для кожи головы The Act,"Мягко очищает, убирает остатки средств и ороговевшие клетки, улучшает рост волос.",200000,img/TA-002.png,Уход за волосами
TA-003,Стайлинг-пудра The Act,"Придаёт объём у корней, фиксирует укладку и не утяжеляет волосы.",145000,img/TA-003.png,Стайлинг
TA-004,Маска для волос The Act,"Глубоко питает, восстанавливает и делает волосы мягкими и блестящими.",154000,img/TA-004.png,Уход за волосами
TA-005,The Act термозащита,"Надёжная защита при укладке феном, утюжком и плойкой, предотвращает ломкость и сухость.",177000,img/TA-005.png,Стайлинг
TA-006,The Act масло для волос,"Аромат приятный; снимает пушистость и придаёт естественный блеск.",150000,img/TA-006.png,Уход за волосами
ACC-001,Мягкая расческа,"Аккуратно распутывает волосы без боли и заломов, не ломает волос.",69000,img/ACC-001.jpg,Аксессуары
OIL-ROSEMARY-001,Розмариновое масло для волос,"Для роста волос и бровей; уменьшает выпадение и перхоть, укрепляет корни.",65000,img/OIL-ROSEMARY-001.jpg,Уход за волосами
ESVICIN-001,Эсвицин спрей для волос,"Помогает остановить выпадение, ускоряет рост и укрепляет корни волос.",160000,img/ESVICIN-001.jpg,Уход за волосами
MASSAGER-001,Массажер для кожи головы,"Стимулирует кровообращение, помогает равномерно распределять масла и спреи.",56000,img/MASSAGER-001.jpg,Аксессуары
